Nome do EPI,CA (Certificado de Aprovação),Periodicidade (em dias),EPI com CA
Bota de PVC,38201,180,Bota de PVC (CA: 38201)
Botina de Segurança,50862,180,Botina de Segurança (CA: 50862)
Capacete,498,360,Capacete (CA: 498)
Capa de Chuva,28728,360,Capa de Chuva (CA: 28728)
Luva Agentes Mecânicos,41076,15,Luva Agentes Mecânicos (CA: 41076)
Luva de Vaqueta,46958,30,Luva de Vaqueta (CA: 46958)
Luva Látex,45628,15,Luva Látex (CA: 45628)
Luva Nitrilica,44033,15,Luva Nitrilica (CA: 44033)
Mascara Descartavel PFF2,39220,8,Mascara Descartavel PFF2 (CA: 39220)
Óculos Incolor,34082,60,Óculos Incolor (CA: 34082)
Perneira,44234,180,Perneira (CA: 44234)
Protetor Auricular Concha,-,180,Protetor Auricular Concha (CA: -)
Protetor Auricular Plug,11512,90,Protetor Auricular Plug (CA: 11512)
Protetor Facial,-,180,Protetor Facial (CA: -)
Sapato de Segurança,15294,180,Sapato de Segurança (CA: 15294)
Luva Isolante,38399,180,Luva Isolante (CA: 38399)
Protetor Solar,-,30,Protetor Solar (CA: -)
Respirador Semi-Facial,434,180,Respirador Semi-Facial (CA: 434)
Avental em Tevira,37785,180,Avental em Tevira (CA: 37785)
